,jaccard
0,0.34615384615384615
1,0.7857142857142857
2,0.391304347826087
3,0.5454545454545454
4,1.0
5,0.3333333333333333
6,0.3333333333333333
7,0.8
8,0.2608695652173913
9,0.6363636363636364
10,0.36363636363636365
11,0.5
12,0.5555555555555556
13,0.4
14,0.21052631578947367
15,1.0
16,0.30434782608695654
17,0.5
18,0.6
19,0.8333333333333334
20,0.35294117647058826
21,1.0
22,0.2222222222222222
23,1.0
24,1.0
25,0.4090909090909091
26,0.34782608695652173
27,0.25
28,0.4
29,0.4375
30,0.23529411764705882
31,0.6666666666666666
32,0.375
33,0.4117647058823529
34,0.3888888888888889
35,0.5
36,0.2727272727272727
37,0.36363636363636365
38,1.0
39,0.5
40,0.4444444444444444
41,1.0
42,0.7692307692307693
43,0.34782608695652173
44,0.4117647058823529
45,0.5
46,0.5
47,0.37037037037037035
48,1.0
49,0.6666666666666666
50,1.0
51,0.625
52,0.36363636363636365
53,0.28
54,0.3181818181818182
55,0.5
56,0.4
57,0.2
58,0.7222222222222222
59,1.0
60,0.5
61,0.5789473684210527
62,0.35294117647058826
63,0.5
64,0.45454545454545453
65,0.34782608695652173
66,0.5
67,0.5
68,0.25
69,0.55
70,0.36363636363636365
71,0.39285714285714285
72,0.7692307692307693
73,0.25
74,0.7222222222222222
75,1.0
76,0.25
77,1.0
78,0.5454545454545454
79,0.3888888888888889
80,0.35294117647058826
81,0.4375
82,0.42857142857142855
83,1.0
84,0.42857142857142855
85,1.0
86,0.5
87,0.4
88,0.6
89,1.0
90,0.5555555555555556
91,0.5555555555555556
92,0.16666666666666666
93,0.6
94,0.2857142857142857
95,0.4117647058823529
96,0.4
97,0.5
98,0.7222222222222222
99,0.34782608695652173
100,0.2727272727272727
101,0.4117647058823529
102,1.0
103,0.5
104,0.5555555555555556
105,0.26666666666666666
106,0.3684210526315789
107,1.0
108,0.5
109,0.3181818181818182
110,0.47058823529411764
111,0.9
112,1.0
113,0.3333333333333333
114,0.5652173913043478
115,1.0
116,0.2608695652173913
117,0.9
118,0.2916666666666667
119,0.4782608695652174
120,0.625
121,0.7222222222222222
122,0.5
123,0.7142857142857143
124,0.4
125,0.6
126,0.2
127,0.5416666666666666
128,0.42857142857142855
129,0.4
130,0.7222222222222222
131,0.25
132,0.7692307692307693
133,0.25
134,0.2608695652173913
135,0.9
136,0.42857142857142855
137,0.45454545454545453
138,0.6
139,0.5
140,1.0
141,0.5384615384615384
142,0.2916666666666667
143,1.0
144,0.35
145,0.6666666666666666
146,0.3
147,0.19047619047619047
148,0.38095238095238093
149,0.2
150,0.25
151,0.4
152,0.8
153,0.4
154,0.6086956521739131
155,0.3333333333333333
156,0.23809523809523808
157,0.4
158,0.15789473684210525
159,1.0
160,0.26666666666666666
161,0.3
162,0.25
163,0.5555555555555556
164,0.2916666666666667
165,0.52
166,0.47368421052631576
167,0.4166666666666667
168,1.0
169,0.3076923076923077
170,0.5
171,0.5
172,0.18181818181818182
173,0.3157894736842105
174,0.2916666666666667
175,0.3
176,0.2857142857142857
177,0.4090909090909091
178,0.2222222222222222
179,0.25
180,1.0
181,0.5
182,0.38095238095238093
183,0.2727272727272727
184,0.3684210526315789
185,0.43478260869565216
186,0.9
187,0.3157894736842105
188,0.3684210526315789
189,0.8333333333333334
190,0.5
191,1.0
192,1.0
193,0.5
194,0.52
195,0.2
196,0.55
197,1.0
198,0.6666666666666666
199,1.0
200,0.7222222222222222
201,1.0
202,0.43478260869565216
203,1.0
204,0.5
205,0.2916666666666667
206,0.23809523809523808
207,0.5
208,0.2727272727272727
209,0.4
210,0.4
211,0.3333333333333333
212,0.2777777777777778
213,0.46153846153846156
214,0.2631578947368421
215,0.5
216,1.0
217,0.35
218,0.3684210526315789
219,0.36363636363636365
220,0.23076923076923078
221,0.1875
222,0.32
223,0.35
224,1.0
225,0.4
226,0.2916666666666667
227,0.375
228,0.6
229,0.4375
230,1.0
231,0.25
232,0.25
233,0.38095238095238093
234,0.5
235,0.47619047619047616
236,0.19047619047619047
237,0.35294117647058826
238,0.5909090909090909
239,0.6666666666666666
240,0.35
241,0.391304347826087
242,0.2727272727272727
243,0.7222222222222222
244,0.5
245,0.7857142857142857
246,0.4
247,0.2916666666666667
248,0.6363636363636364
249,0.4375
250,0.2916666666666667
251,0.42857142857142855
252,0.25
253,0.5
254,0.3888888888888889
255,0.21739130434782608
256,0.2727272727272727
257,0.5
258,0.17647058823529413
259,0.391304347826087
260,1.0
261,0.5
262,0.42857142857142855
263,0.17647058823529413
264,0.6
265,0.3
266,0.10526315789473684
267,0.1111111111111111
268,0.1111111111111111
269,0.43478260869565216
270,0.4
271,0.631578947368421
272,0.25
273,0.26666666666666666
274,0.36363636363636365
275,0.05263157894736842
276,1.0
277,0.47058823529411764
278,0.42857142857142855
279,0.42857142857142855
280,0.4117647058823529
281,0.3333333333333333
282,0.5
283,0.52
284,0.4
285,0.5
286,0.5555555555555556
287,0.3
288,0.2857142857142857
289,0.42857142857142855
290,0.16666666666666666
291,0.7
292,0.4375
293,0.2
294,0.3
295,0.1111111111111111
296,0.5416666666666666
297,0.6666666666666666
298,0.43478260869565216
299,0.5416666666666666
300,0.7222222222222222
301,0.4444444444444444
302,0.3333333333333333
303,0.5
304,0.6086956521739131
305,0.3333333333333333
306,0.42857142857142855
307,0.5
308,0.7857142857142857
309,0.5
310,0.8333333333333334
311,0.42105263157894735
312,0.5
313,0.25
314,0.5
315,0.45454545454545453
316,0.5
317,1.0
318,0.3
319,0.5238095238095238
320,0.2916666666666667
321,0.5416666666666666
322,0.3125
323,0.23809523809523808
324,0.4375
325,0.36363636363636365
326,0.9
327,0.7222222222222222
328,0.5
329,1.0
330,1.0
331,0.2916666666666667
332,0.36363636363636365
333,0.9
334,0.4444444444444444
335,0.13636363636363635
336,0.25
337,0.6956521739130435
338,0.52
339,0.5454545454545454
340,0.35294117647058826
341,0.5
342,0.5
343,0.35294117647058826
344,0.7222222222222222
345,0.25
346,0.4
347,0.3684210526315789
348,0.55
349,0.6363636363636364
350,0.6363636363636364
351,1.0
352,0.42857142857142855
353,0.2
354,0.30434782608695654
355,0.2608695652173913
356,0.16666666666666666
357,0.3157894736842105
358,1.0
359,0.3333333333333333
360,1.0
361,0.4
362,1.0
363,0.5333333333333333
364,1.0
365,0.3684210526315789
366,0.5
367,0.3
368,0.4
369,1.0
370,0.42857142857142855
371,0.4375
372,0.2
373,0.4
374,0.25
375,0.375
376,0.8
377,1.0
378,0.8333333333333334
379,0.3
380,0.3333333333333333
381,0.42857142857142855
382,0.23529411764705882
383,0.4
384,0.6
385,0.23529411764705882
386,0.2916666666666667
387,0.38095238095238093
388,0.2857142857142857
389,0.2857142857142857
390,0.35294117647058826
391,0.7222222222222222
392,0.4444444444444444
393,0.7142857142857143
394,0.6
395,1.0
396,0.55
397,0.4444444444444444
398,0.09523809523809523
399,0.5
400,0.4
401,1.0
402,0.42857142857142855
403,0.5555555555555556
404,0.25
405,0.2916666666666667
406,0.45454545454545453
407,1.0
408,1.0
409,0.75
410,0.35294117647058826
411,0.6
412,0.2857142857142857
413,0.52
414,0.6666666666666666
415,0.3333333333333333
416,0.2857142857142857
417,0.6086956521739131
418,0.2857142857142857
419,0.5555555555555556
420,0.7142857142857143
421,0.5555555555555556
422,0.22727272727272727
423,0.5
424,0.3333333333333333
425,0.23809523809523808
426,1.0
427,1.0
428,0.5555555555555556
429,0.3333333333333333
430,0.3333333333333333
431,1.0
432,0.3684210526315789
433,1.0
434,0.5
435,0.5384615384615384
436,0.5714285714285714
437,0.5
438,0.38461538461538464
439,0.3157894736842105
440,0.7857142857142857
441,1.0
442,0.9
443,0.23529411764705882
444,0.9
445,0.2631578947368421
446,0.42857142857142855
447,1.0
448,0.6363636363636364
449,0.6086956521739131
450,0.35
451,0.2
452,0.1875
453,0.391304347826087
454,0.55
455,0.35714285714285715
456,0.4
457,0.3181818181818182
458,0.5
